Country,Region
Afghanistan ,ASIA (EX. NEAR EAST)
Andorra ,WESTERN EUROPE
Armenia ,C.W. OF IND. STATES
Austria ,WESTERN EUROPE
Azerbaijan ,C.W. OF IND. STATES
Belarus ,C.W. OF IND. STATES
Bhutan ,ASIA (EX. NEAR EAST)
Bolivia ,LATIN AMER. & CARIB
Botswana ,SUB-SAHARAN AFRICA
Burkina Faso ,SUB-SAHARAN AFRICA
Burundi ,SUB-SAHARAN AFRICA
Central African Rep. ,SUB-SAHARAN AFRICA
Chad ,SUB-SAHARAN AFRICA
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA
Czech Republic ,EASTERN EUROPE
Ethiopia ,SUB-SAHARAN AFRICA
Hungary ,EASTERN EUROPE
Kazakhstan ,C.W. OF IND. STATES
Kyrgyzstan ,C.W. OF IND. STATES
Laos ,ASIA (EX. NEAR EAST)
Lesotho ,SUB-SAHARAN AFRICA
Liechtenstein ,WESTERN EUROPE
Luxembourg ,WESTERN EUROPE
Macedonia ,EASTERN EUROPE
Malawi ,SUB-SAHARAN AFRICA
Mali ,SUB-SAHARAN AFRICA
Moldova ,C.W. OF IND. STATES
Mongolia ,ASIA (EX. NEAR EAST)
Nepal ,ASIA (EX. NEAR EAST)
Niger ,SUB-SAHARAN AFRICA
Paraguay ,LATIN AMER. & CARIB
Rwanda ,SUB-SAHARAN AFRICA
San Marino ,WESTERN EUROPE
Serbia ,EASTERN EUROPE
Slovakia ,EASTERN EUROPE
Swaziland ,SUB-SAHARAN AFRICA
Switzerland ,WESTERN EUROPE
Tajikistan ,C.W. OF IND. STATES
Turkmenistan ,C.W. OF IND. STATES
Uganda ,SUB-SAHARAN AFRICA
Uzbekistan ,C.W. OF IND. STATES
West Bank ,NEAR EAST
Zambia ,SUB-SAHARAN AFRICA
Zimbabwe ,SUB-SAHARAN AFRICA
